MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object Distance,Azimuth,Angle,Direction,Fall,,
1.74331E+12,0,-10.1822,0.2352,-0.6272,-0.3572,-0.0608,0.684,-125,-125,96,0,0,0,16211370.731569242,0,-52.47573739,73.99940598223328,360,10.204209705802796,,17.88134812
1.74331E+12,0,-10.2018,0.3038,-0.7056,-0.4902,-1.1742,-0.5358,-125,-125,96,0,0,0,16211370.731569242,0,-52.47573739,73.99940598223328,360,10.230683703448172,,
1.74331E+12,0,-10.1626,0.3626,-0.6076,-0.3306,-0.3686,-0.8132,-136,-136,96,0,0,0,16211370.731569242,0,-54.78240703,73.99940598223328,360,10.18720252473661,,
1.74331E+12,0,-10.2214,0.20579999999999998,-0.5978,-0.9728,1.5922,1.5086,-136,-136,96,0,0,0,16211370.731569242,0,-54.78240703,73.99940598223328,360,10.240934353856584,,
1.74331E+12,0,-10.1234,0.43119999999999997,-0.686,-0.6384,-0.3496,-2.7702,-129,-129,95,0,0,0,16211370.731569242,0,-53.63080179,73.99940598223328,360,10.155774564256534,,
1.74331E+12,0,-10.1234,0.43119999999999997,-0.686,0.5244,2.8386,-1.0298,-131,-131,93,0,0,0,16211370.731569242,0,-54.62815613,73.99940598223328,360,10.155774564256534,,
1.74331E+12,0,-10.1528,0.294,-0.686,1.5124,3.1426,-2.128,-131,-131,98,0,0,0,16211370.731569242,0,-53.20014606,73.99940598223328,360,10.18019547160073,,
1.74331E+12,0,-10.29,0.0196,-0.8722,0.3572,-0.6156,0.8398,-131,-131,98,0,0,0,16211370.731569242,0,-53.20014606,73.99940598223328,360,10.326917110154413,,
1.74331E+12,0,-10.1136,0.3626,-0.5488,-0.3572,0.8208,0.7904,-128,-128,95,0,0,0,16211370.731569242,0,-53.41765718,73.99940598223328,360,10.134967447407021,,
1.74331E+12,0,-10.2606,0.10779999999999999,-0.9016,-0.114,-5.0844,-2.5802,-123,-123,99,0,0,0,16211370.731569242,0,-51.1701751,73.99940598223328,360,10.30069977040395,,
1.74331E+12,0,-10.1626,0.392,-0.9996,-1.2768,-4.351,-6.6614,-133,-133,95,0,0,0,16211370.731569242,0,-54.46232221,73.99940598223328,360,10.219163513712852,,
1.74331E+12,0,-10.1822,0.0784,-0.4606,-1.6948,2.6258,-2.3902,-131,-131,100,0,0,0,16211370.731569242,0,-52.64337807,73.99940598223328,360,10.192913997478836,,
1.74331E+12,0,-10.2214,-0.2156,-0.3724,-1.1818,4.009,3.4618,-129,-129,95,0,0,0,16211370.731569242,0,-53.63080179,73.99940598223328,360,10.230453708413913,,
1.74331E+12,0,-10.1528,0.1666,-0.7448,-0.4636,3.5872,-0.8626,-130,-130,94,0,0,0,16211370.731569242,0,-54.13017648,73.99940598223328,360,10.181445400334866,,
1.74331E+12,0,-10.2312,0.12739999999999999,-0.8918,0.057,1.1362,-0.0836,-124,-124,93,0,0,0,16211370.731569242,0,-53.13010235,73.99940598223328,360,10.270783389790672,,
1.74331E+12,0,-10.2018,-0.1372,-0.7644,0.2166,-1.5542,-0.7942,-124,-124,93,0,0,0,16211370.731569242,0,-53.13010235,73.99940598223328,360,10.231317336491914,,
1.74331E+12,0,-10.192,0.0294,-0.833,-0.0912,1.9494,2.0368,-125,-125,91,0,0,0,16211370.731569242,0,-53.94538183,73.99940598223328,360,10.226026469748648,,
1.74331E+12,0,-10.2214,-0.0196,-0.6174,0.0798,3.2262,0.7258,-125,-125,91,0,0,0,16211370.731569242,0,-53.94538183,73.99940598223328,360,10.240048089730829,,
1.74331E+12,0,-10.2214,0.20579999999999998,-0.8722,1.52,3.1958,-2.5232,-130,-130,93,0,0,0,16211370.731569242,0,-54.42065256,73.99940598223328,360,10.26060936007214,,
1.74331E+12,0,-10.192,-0.0784,-0.8526,0.5928,2.2458,2.337,-135,-135,90,0,0,0,16211370.731569242,0,-56.30993247,73.99940598223328,360,10.227899946714379,,
1.74331E+12,0,-10.1724,-0.0588,-0.7644,-0.418,2.4244,3.3098,-135,-135,90,0,0,0,16211370.731569242,0,-56.30993247,73.99940598223328,360,10.20124926467342,,
1.74331E+12,0,-10.2116,0.0392,-0.98,-0.418,2.6486,3.2186,-132,-132,90,0,0,0,16211370.731569242,0,-55.71312302,73.99940598223328,360,10.258592067140597,,
1.74331E+12,0,-10.1528,0.147,-0.9898,-0.1938,1.1324,2.2382,-132,-132,90,0,0,0,16211370.731569242,0,-55.71312302,73.99940598223328,360,10.201992985686669,,
1.74331E+12,0,-10.1724,0.196,-1.0388,-0.247,0.5586,-1.102,-129,-129,92,0,0,0,16211370.731569242,0,-54.50435872,73.99940598223328,360,10.22718158634137,,
1.74331E+12,0,-10.1626,0.1764,-0.8918,-0.4902,0.5548,0.5624,-128,-128,94,0,0,0,16211370.731569242,0,-53.70737027,73.99940598223328,360,10.203179061449426,,
1.74331E+12,0,-10.1626,0.1568,-0.9702,0.4712,1.3452,-0.095,-131,-131,92,0,0,0,16211370.731569242,0,-54.92001296,73.99940598223328,360,10.210010432903582,,
1.74331E+12,0,-10.1626,0.2254,-1.029,0.304,1.14,-1.311,-131,-131,92,0,0,0,16211370.731569242,0,-54.92001296,73.99940598223328,360,10.217048738260965,,
1.74331E+12,0,-10.1626,0.196,-1.0976,-0.684,-2.8158,-2.0976,-128,-128,91,0,0,0,16211370.731569242,0,-54.58955171,73.99940598223328,360,10.22357963337695,,
1.74331E+12,0,-10.192,0.0882,-0.9016,-0.3534,-1.824,-1.2046,-133,-133,93,0,0,0,16211370.731569242,0,-55.03690245,73.99940598223328,360,10.232180891677004,,
1.74331E+12,0,-10.1822,0.0196,-0.882,0.5054,-0.9614,0.855,-133,-133,93,0,0,0,16211370.731569242,0,-55.03690245,73.99940598223328,360,10.220347596828592,,
1.74331E+12,0,-10.1822,0.0196,-0.882,-0.532,-1.2768,0.7106,-125,-125,93,0,0,0,16211370.731569242,0,-53.35075253,73.99940598223328,360,10.220347596828592,,
1.74331E+12,0,-10.192,0.1372,-0.9016,-0.5244,0.5738,-0.7372,-128,-128,92,0,0,0,16211370.731569242,0,-54.2933086,73.99940598223328,360,10.232720576659952,,
1.74331E+12,0,-10.1724,0.1666,-0.9212,0.7144,0.1254,-0.7524,-128,-128,92,0,0,0,16211370.731569242,0,-54.2933086,73.99940598223328,360,10.215384807240499,,
1.74331E+12,0,-10.1822,0.0784,-0.931,-0.209,-0.2128,0.3762,-130,-130,90,0,0,0,16211370.731569242,0,-55.30484647,73.99940598223328,360,10.224974542755595,,
1.74331E+12,0,-10.1724,0.098,-0.9114,-0.1178,0.2812,0.8436,-128,-128,88,0,0,0,16211370.731569242,0,-55.49147701,73.99940598223328,360,10.213617171208249,,
1.74331E+12,0,-10.1724,0.098,-0.9604,0.2508,0.3762,-0.5054,-132,-132,89,0,0,0,16211370.731569242,0,-56.01047991,73.99940598223328,360,10.218106180697086,,
1.74331E+12,0,-10.1822,0.147,-0.931,0.4826,-1.2426,0.9842,-132,-132,89,0,0,0,16211370.731569242,0,-56.01047991,73.99940598223328,360,10.225730626219331,,
1.74331E+12,0,-10.1822,0.098,-0.9408,-0.0532,-1.2236,0.1406,-129,-129,93,0,0,0,16211370.731569242,0,-54.21102654,73.99940598223328,360,10.226040557322271,,
1.74331E+12,0,-10.1724,0.1372,-0.9212,-1.0944,-2.0026,-0.7828,-129,-129,93,0,0,0,16211370.731569242,0,-54.21102654,73.99940598223328,360,10.214947627863786,,
1.74331E+12,0,-10.1822,0.1372,-0.9016,-1.6834,-0.0532,0.627,-132,-132,92,0,0,0,16211370.731569242,0,-55.12467166,73.99940598223328,360,10.222959612558391,,
1.74331E+12,0,-10.1822,0.0784,-0.8624,0.1368,0.8398,2.2078,-131,-131,93,0,0,0,16211370.731569242,0,-54.62815613,73.99940598223328,360,10.218956754972593,,
1.74331E+12,0,-10.143,0.147,-0.9114,-1.2046,1.026,2.4244,-131,-131,89,0,0,0,16211370.731569242,0,-55.80823094,73.99940598223328,360,10.18492552550091,,
1.74331E+12,0,-10.192,0.245,-0.9016,-0.6916,0.5624,2.5346,-131,-131,89,0,0,0,16211370.731569242,0,-55.80823094,73.99940598223328,360,10.234733585198981,,
1.74331E+12,0,-10.192,0.245,-0.9016,-0.988,2.3408,2.1774,-131,-131,90,0,0,0,16211370.731569242,0,-55.51004337,73.99940598223328,360,10.234733585198981,,
1.74331E+12,0,-10.2116,0.147,-0.8624,0.4104,7.3872,6.232,-131,-131,90,0,0,0,16211370.731569242,0,-55.51004337,73.99940598223328,360,10.249005674698399,,
1.74331E+12,0,-10.1136,0.0882,-0.6958,-1.482,7.4442,8.987,-134,-134,89,0,0,0,16211370.731569242,0,-56.4087182,73.99940598223328,360,10.137890403826626,,
1.74331E+12,0,-10.2998,0.2352,-1.2348,4.731,-11.6736,3.2262,-134,-134,89,0,0,0,16211370.731569242,0,-56.4087182,73.99940598223328,360,10.376219452189703,,
1.74331E+12,0,-10.437,0.5095999999999999,-1.862,12.5894,-24.1794,-2.5232,-134,-134,90,0,0,0,16211370.731569242,0,-56.11304054,73.99940598223328,360,10.614033406768607,,
1.74331E+12,0,-10.4762,0.49,-0.8036,17.727,-24.225,2.8614,-134,-134,90,0,0,0,16211370.731569242,0,-56.11304054,73.99940598223328,360,10.518395286354284,,
1.74331E+12,0,-10.7604,0.1372,-0.2156,19.4598,-12.1714,25.858999999999998,-125,-125,94,0,0,0,16211370.731569242,0,-53.05683413,73.99940598223328,360,10.763434180594963,,
1.74331E+12,0,-11.3974,0.34299999999999997,-0.4802,17.5978,-29.4918,38.8854,-123,-123,97,0,0,0,16211370.731569242,0,-51.7400561,73.99940598223328,360,11.412666988920687,,
1.74331E+12,0,-11.417,0.6958,-0.588,14.972,-39.1476,41.6746,-123,-123,97,0,0,0,16211370.731569242,0,-51.7400561,73.99940598223328,360,11.453286455860606,,
1.74331E+12,0,-10.29,1.0877999999999999,-0.0392,28.9484,-17.1152,12.3424,-112,-112,105,0,0,0,16211370.731569242,0,-46.84761027,73.99940598223328,360,10.347412501683692,,
1.74331E+12,0,-9.4668,0.8722,0.2646,25.1066,-13.927,3.344,-112,-112,105,0,0,0,16211370.731569242,0,-46.84761027,73.99940598223328,360,9.510575599825701,,
1.74331E+12,0,-9.0552,1.5091999999999999,0.049,-7.9572,9.6102,-9.9598,-113,-113,107,0,0,0,16211370.731569242,0,-46.56222492,73.99940598223328,360,9.180235981716374,,
1.74331E+12,0,-9.4276,1.0191999999999999,0.4214,23.5714,20.0716,-2.2572,-114,-114,108,0,0,0,16211370.731569242,0,-46.5481577,73.99940598223328,360,9.491890663087096,,
1.74331E+12,0,-9.7314,1.7835999999999999,0.1568,54.758,33.0296,-5.0958,-121,-121,98,0,0,0,16211370.731569242,0,-50.9953868,73.99940598223328,360,9.894744118,,
1.74331E+12,0,-10.2802,1.911,0.0294,50.0992,14.0676,-13.737,-121,-121,87,0,0,0,16211370.731569242,0,-54.28355281,73.99940598223328,360,10.456352012054682,,
