Second,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Azimuth,Angle,Direction,0,cone direction,cone probability,0,0,,
0,0,-8.46,-6.17,0.85,-24.5,-5.625,-0.875,20.6875,290.5625,-228.75,0,0,-8.736557826,16211406.68,-4.072478961,73.9993171,360,10.50537957,0,0,0,0,327.5059723,
0.125,0,-8.36,-5.85,0.66,-13.4375,-3.125,0,13.25,170.875,-130.1875,0,0,-8.609744719,16211406.68,-4.433960347,73.9993171,360,10.22485697,0,0,0.000125,0.125,,
0.256,0,-8.77,-6.02,0.38,-4,2.5625,-13.125,13.5625,165.25,-124.6875,0,0,-8.261000805,16211406.68,-4.900925938,73.9993171,360,10.3396615,0,0,0.000256,0.256,,
0.411,0,-8.54,-5.42,0.37,15.6875,9.6875,1.1875,13.375,162.5625,-121.25,0,0,-8.324409648,16211406.68,-4.703476222,73.9993171,360,10.20900093,0,0,0.000411,0.411,,
0.549,0,-8.76,-5.55,0.04,28.6875,15.4375,-0.1875,13.875,162.1875,-122.5,0,0,-7.373236934,16211406.68,-4.889698779,73.9993171,360,10.19824495,0,0,0.000549,0.549,,
0.656,0,-8.49,-5.61,0.44,28.8125,11.625,-3.9375,15.25,161.1875,-123.25,0,0,-7.595184914,16211406.68,-5.404684031,73.9993171,360,10.18556822,0,0,0.000656,0.656,,
0.791,0,-8.25,-6.3,0.26,18.8125,13.375,10.6875,21,152.5,-113.0625,0,0,-7.024452089,16211406.68,-7.840599271,73.9993171,360,10.3836458,0,0,0.000791,0.791,,
0.926,0,-7.21,-5.96,0.68,16.1875,11.4375,21.5,30.875,140.25,-95.25,0,0,-7.246407417,16211406.68,-10.97175365,73.9993171,360,9.37913109,0,0,0.000926,0.926,,
1.021,0,-7.53,-5.72,0.56,12.9375,5,8.5625,35.25,130,-85,0,0,-12.28670532,16211406.68,-15.17117574,73.9993171,360,9.434537615,0,0,0.001021,1.021,,
1.167,0,-7.88,-5.44,1.96,-1.5,-8.375,8.0625,33.25,120.5,-75.5625,0,0,-6.961035422,16211406.68,-15.33850433,73.9993171,360,9.356569884,0,0,0.001167,1.167,,
1.311,0,-8.14,-5.18,1.87,15,26.25,-15.9375,28.6875,114.6875,-73.6875,0,0,-7.056160279,16211406.68,-14.77583349,73.9993171,360,10.2359025,0,0,0.001311,1.311,,
1.419,0,-8.36,-5.72,-0.22,33.0625,62.875,-16.625,27.6875,112.1875,-72.875,0,0,-6.770783132,16211406.68,-13.86337204,73.9993171,360,10.00540854,0,0,0.001419,1.419,,
1.55,0,-8.24,-6.43,-0.89,9.8125,36,-6.1875,33,112.0625,-69.25,0,0,-12.76208069,16211406.68,-14.23189417,73.9993171,360,10.70871141,0,0,0.00155,1.55,,
1.705,0,-8.3,-5.76,0.37,25.625,19.125,22.0625,43,113.875,-54.5,0,0,-6.35855805,16211406.68,-19.36802235,73.9993171,360,10.10962413,0,0,0.001705,1.705,,
1.817,0,-7.97,-6.27,-0.5,48.75,25.625,8.625,42.75,113.5,-48.375,0,0,-6.675655698,16211406.68,-20.63898236,73.9993171,360,10.17381443,0,0,0.001817,1.817,,
1.972,0,-7.33,-5.02,-0.68,73,-1.125,14.5625,47.25,106.5,-45.5625,0,0,-6.548817784,16211406.68,-22.33263563,73.9993171,360,8.821632502,0,0,0.001972,1.972,,
2.078,0,-7.66,-4.59,0.23,39.875,23.1875,33.25,47.0625,96.1875,-43.375,0,0,-6.612236932,16211406.68,-26.07152104,73.9993171,360,7.776168722,0,0,0.002078,2.078,,
2.175,0,-8.59,-4.59,-1.19,37.25,28.8125,20.375,47.875,80.6875,-43.0625,0,0,-6.453688347,16211406.68,-30.68228747,73.9993171,360,10.55752338,0,0,0.002175,2.175,,
2.303,0,-8.38,-2.49,-1.76,28.3125,23.5,38.125,44.375,67.875,-40.25,0,0,-6.485398255,16211406.68,-32.89902885,73.9993171,360,8.325851308,0,0,0.002303,2.303,,
2.457,0,-9.22,-2.77,-0.74,-18.0625,-9.25,-6.75,44.5625,61.375,-37.375,0,0,-6.16829488,16211406.68,-34.65742267,73.9993171,360,10.71434086,0,0,0.002457,2.457,,
2.571,0,-8.43,-4.53,2.59,-22,-31.8125,2.125,40.375,58.6875,-37.5625,0,0,-5.660909629,16211406.68,-34.52664637,73.9993171,360,9.914328016,0,0,0.002571,2.571,,
2.706,0,-7.35,-4.14,1.87,-37.75,14.9375,24.4375,37.75,57.6875,-36.0625,0,0,-5.47063386,16211406.68,-33.57881373,73.9993171,360,8.640543964,0,0,0.002706,2.706,,
2.846,0,-7.79,-2.33,-0.64,-28.625,30.25,59.625,43.5,56.1875,-33.1875,0,0,-5.724334121,16211406.68,-35.61418983,73.9993171,360,8.354005028,0,0,0.002846,2.846,,
2.999,0,-10.45,-2.67,-0.24,-30.625,5.5625,12.3125,49.875,54.5625,-27.6875,0,0,-5.153499942,16211406.68,-41.46603162,73.9993171,360,10.78837337,0,0,0.002999,2.999,,
3.135,0,-10.48,-3.63,-0.34,11.8125,33.6875,-8,47.875,52.5,-27.75,0,0,-5.565772174,16211406.68,-42.36183629,73.9993171,360,11.09607588,0,0,0.003135,3.135,,
3.247,0,-8.92,-3.18,-0.71,58.3125,7.0625,1.75,47.1875,51.0625,-24.5625,0,0,-5.502346727,16211406.68,-42.74141341,73.9993171,360,9.496467764,0,0,0.003247,3.247,,
3.423,0,-7.4,0.23,-5.18,4.75,-4.8125,36.875,50.75,49.25,-31.75,0,0,-5.914605309,16211406.68,-43.73659278,73.9993171,360,9.052623929,0,0,0.003423,3.423,,
3.539,0,-7.36,1.73,-3.84,-51.0625,-14.6875,7,51.5,47.5,-30.1875,0,0,-4.994929403,16211406.68,-47.3137225,73.9993171,360,8.479864386,0,0,0.003539,3.539,,
3.685,0,-9.05,-0.27,-1.09,-109.3125,-29.5,-32.5625,51.1875,49,-31.375,0,0,-4.709496418,16211406.68,-47.69217589,73.9993171,360,9.119402393,0,0,0.003685,3.685,,
3.824,0,-7.83,-3.11,0.98,-123.4375,-29.625,-21.75,48.1875,52.5625,-25.0625,0,0,-4.741211576,16211406.68,-42.51353197,73.9993171,360,8.481827633,0,0,0.003824,3.824,,
3.936,0,-7.78,-4.12,1.16,-96.75,-41.625,-30.4375,46.25,49.6875,-22.375,0,0,-5.058357905,16211406.68,-42.94793463,73.9993171,360,8.879662156,0,0,0.003936,3.936,,
4.072,0,-9.05,-3.96,0.61,-49.625,22.625,5.1875,39.5,39.0625,-24,0,0,-10.54347879,16211406.68,-44.66688876,73.9993171,360,9.897282455,0,0,0.004072,4.072,,
4.209,0,-9.28,-4.77,0.55,-0.4375,15.0625,4.375,27.1875,27.5625,-60.25,0,0,-4.550919196,16211406.68,-47.46466336,73.9993171,360,10.56161446,0,0,0.004209,4.209,,
4.373,0,-10.76,-3.22,-0.63,18.5625,-8.9375,4.75,26.6875,38.1875,-147.75,0,0,-5.026643701,16211406.68,-24.30957411,73.9993171,360,11.33375048,0,0,0.004373,4.373,,
4.565,0,-9.95,-2.21,-0.28,-22.125,-0.4375,-2.9375,80.1875,87.75,-128.75,0,0,-5.216927489,16211406.68,-178.0990588,73.9993171,360,10.19632287,0,0,0.004565,4.565,,
4.685,0,-12.54,-4.7,0.8,-42.375,-22,20.75,97.75,74.5625,-78.5625,0,0,-5.026643701,16211406.68,-52.66405647,73.9993171,360,13.0756453,0,0,0.004685,4.685,,
4.791,0,-9.57,0.14,1.74,-20.625,-38.875,24,96,55.375,-57.75,0,0,-5.692621923,16211406.68,-60.02266648,73.9993171,360,9.621860527,0,0,0.004791,4.791,,
4.951,0,-8.97,-3.17,-0.28,-47.8125,12.1875,0,55.5625,34.375,-16.75,0,0,-4.677781165,16211406.68,-56.30993247,73.9993171,360,9.517783355,0,0,0.004951,4.951,,
5.087,0,-7.25,-4.79,1.6,136.0625,-32.4375,-12.3125,49,29.5,-2.875,0,0,-5.216927489,16211406.68,-58.95034281,73.9993171,360,9.364587551,0,0,0.005087,5.087,,
5.266,0,-9.11,-1.4,0.36,-0.4375,-6.4375,-8.25,107.375,60.75,-58,0,0,-5.629197239,16211406.68,-51.03975185,73.9993171,360,11.044519,0,0,0.005266,5.266,,
5.401,0,-9.37,-0.97,0.44,-0.25,5.8125,1.25,113.6875,70,-59.75,0,0,-4.772926639,16211406.68,-58.61169982,73.9993171,360,9.430344638,0,0,0.005401,5.401,,
5.512,0,-8.73,-0.97,1.42,-0.125,-2.1875,-0.5625,117,72.5,-58.375,0,0,-4.614350372,16211406.68,-58.29988058,73.9993171,360,8.897763764,0,0,0.005512,5.512,,
5.646,0,-9.37,-1.03,0.48,0.0625,-3.3125,-0.625,118.5,69.6875,-55.6875,0,0,-4.328907076,16211406.68,-58.51999906,73.9993171,360,9.556809091,0,0,0.005646,5.646,,
5.769,0,-9.31,-0.92,0.98,-0.5,0.6875,1.3125,114.75,68.5625,-55.25,0,0,-9.751007741,16211406.68,-59.14191274,73.9993171,360,9.38977103,0,0,0.005769,5.769,,
5.938,0,-9.29,0.45,1.24,32.25,-0.9375,1.125,115.6875,68,-56.6875,0,0,-4.614350372,16211406.68,-59.49671527,73.9993171,360,9.637037927,0,0,0.005938,5.938,,
6.082,0,-9.66,-0.63,0.03,-1.0625,3.375,-2.0625,123.5,66.875,-67.5,0,0,-4.709496418,16211406.68,-61.05142428,73.9993171,360,9.680568165,0,0,0.006082,6.082,,
6.184,0,-8.4,-1.85,1.23,0.25,-8.75,6.875,127.875,67.5625,-67.5625,0,0,-9.624206843,16211406.68,-62.15035637,73.9993171,360,8.688808894,0,0,0.006184,6.184,,
6.299,0,-9.58,-2,1.02,1.9375,7.25,-1.0625,121.5625,66.5625,-67.5625,0,0,-4.392339588,16211406.68,-61.29674538,73.9993171,360,9.6157631,0,0,0.006299,6.299,,
6.462,0,-9.56,-0.17,1.12,0.125,1.4375,-6.875,132.375,67.375,-82.25,0,0,-3.789715305,16211406.68,-62.04858393,73.9993171,360,9.592361544,0,0,0.006462,6.462,,
6.598,0,-9.16,-1.22,-0.14,58.4375,-8,8.1875,132.25,69.1875,-78.5,0,0,-3.853151064,16211406.68,-62.38337439,73.9993171,360,9.525087926,0,0,0.006598,6.598,,
6.712,0,-9.57,1.34,0.8,39.25,0.5,-5.5625,137.6875,52.25,-86.1875,0,0,-5.819470145,16211406.68,-69.21912151,73.9993171,360,9.538065842,0,0,0.006712,6.712,,
6.833,0,-7.63,-2.77,0.95,80.8125,-1,14.6875,126.875,48.5625,-85.25,0,0,-3.91658644,16211406.68,-69.05522195,73.9993171,360,9.22779497,0,0,0.006833,6.833,,
6.945,0,-9.03,0.27,1.17,0,-13.1875,-2.0625,113.5625,30.25,-83.6875,0,0,-3.853151064,16211406.68,-75.08428514,73.9993171,360,9.109484069,0,0,0.006945,6.945,,
7.041,0,-9.95,-2.03,0.69,-1.625,18.8125,5.1875,107.0625,16.75,-87.375,0,0,-4.265474182,16211406.68,-81.10811759,73.9993171,360,10.17838396,0,0,0.007041,7.041,,
7.185,0,-9.95,-0.4,1,0.3125,-10.5,2.9375,117,17.6875,-89.6875,0,0,-4.772926639,16211406.68,-81.40339268,73.9993171,360,10.0081217,0,0,0.007185,7.185,,
7.341,0,-9.48,-0.68,-0.2,0.375,-0.3125,2.25,113.875,18.6875,-89.5,0,0,-7.817128219,16211406.68,-80.68052157,73.9993171,360,9.602400741,0,0,0.007341,7.341,,
7.487,0,-9.27,-0.86,0.7,-0.25,3.25,-1.625,113.875,18.6875,-91.6875,0,0,-5.978028274,16211406.68,-80.68052157,73.9993171,360,9.430567321,0,0,0.007487,7.487,,
7.596,0,-9.42,-0.75,0.32,0.125,-2,0.1875,116.0625,19.875,-92.5,0,0,-5.058357905,16211406.68,-79.92475088,73.9993171,360,9.369199539,0,0,0.007596,7.596,,
7.702,0,-9.22,-0.66,0.85,-0.0625,-0.3125,-0.9375,115.375,19.875,-90,0,0,-4.455771718,16211406.68,-80.22590815,73.9993171,360,9.309812028,0,0,0.007702,7.702,,
